ID,all_k,rural_k,urban_k,beta
P270,0.660092124772758,0.888004446205993,0.712866912515407,3.98213043419979
P271,0.205246820844468,0.579989816948598,0.199061674622029,2.87524158830109
P272,0.234763461727928,0.13802768712819,0.992893985734071,3.28725426095687
P273,0.136808591452121,0.137978673872156,0.674096845532819,4.13112464684114
P274,0.279874921678615,0.415586242351949,0.341464982192101,4.70830909746623
P275,0.440764923344422,0.588315275654942,0.480758794993779,3.75478790328886
P276,0.294919280086437,0.142851197791055,0.147785191482544,4.79927830078979
P277,0.569942101733202,0.420882405585489,0.151519914216126,1.95581255819831
P278,0.59969224025643,0.572877483263252,0.818145377187525,2.36857523696609
P27,1.19747812521304,1.43655224548931,1.37576795368793,5.31128746092549
P280,0.321776294518283,0.24499834035137,0.248117073405271,2.72002348471856
P281,0.258529463167766,1.19966392668997,0.253324646312488,5.54735753830957
P282,0.406812518603689,0.326731403469592,0.815621786423015,2.66762152300581
P283,0.874263764086182,0.594992890005578,0.795957500655775,1.57456139323094
P285,0.666626836970979,0.318634249268548,0.863188044207301,1.74830542670247
P286,0.148615875782351,0.150499500381291,0.268690425200447,6.00592974124873
P287,0.500287538910114,0.512590353913725,0.474806372198077,3.64073764495393
P288,0.232764381401934,0.266124392378422,0.13030933378214,2.5506385488929
P289,0.463613810819799,0.387336190710309,0.529925565351723,4.80329510770925
P290,0.211101474428653,0.808784798957785,0.300537855957623,3.07330925623235
P291,1.08109860696179,0.404599509230273,0.622612140468172,1.9515845622508
P292,0.502903284209024,0.572456671731928,0.614512024028792,3.29341458831588
P293,0.383701453717561,0.145053051619186,0.274629166733303,5.1260110346285
P294,0.133708478929426,1.15567332034373,0.140375559717174,3.7152896916149
P295,0.141311274980751,1.05799267293622,0.242627734880243,4.78997240751765
P296,1.37006673271252,1.45308331702056,1.3968988169713,6.49834735876684
P297,0.248311260284742,1.42872308054903,0.244895021695678,4.9336251385799
P298,0.270699979300045,0.134697182068677,1.25862136791947,3.72130574851753
P29,0.217096853754713,0.135953916164248,0.36539247438299,3.87215658064728
P30,0.733861510277435,0.586986843655955,0.557286412298762,5.51275002278587
P31,0.615583207344611,0.724803632794108,0.543275811907237,2.22065818512985
P32,0.426417192728862,0.985490285040013,0.432617335935622,1.48525037935191
P33,0.263221593243193,0.639587987327941,0.67960420678731,1.78817836195565
P34,0.904844697896461,0.159783824353462,1.19022427596532,4.10173271697669
