ID,true_rural_k,true_urban_k,true_beta,recovered_rural_k,recovered_urban_k,recovered_beta
sim_118,0.261964808990362,0.306654903229087,7.0032338318621,0.380403855152126,0.378834416529776,7.42833799861683
sim_119,0.624978965359309,0.278792164564804,7.05821145748293,0.675966965027538,0.289965760600988,7.40299792216911
sim_120,0.959812487824995,0.338211615305671,6.95275257928655,0.818292233160847,0.287094075513113,6.72601197611955
sim_121,0.0269799147111521,0.640032077360595,6.99074231823804,0.191168077451211,0.716463112640605,6.56838262805728
sim_122,0.294259158913761,0.571176685312675,6.98522804412007,0.375968791563156,0.563431801859373,6.8922200211599
sim_123,0.596387909331544,0.644915485788827,6.98075031471792,0.568521124936981,0.461948420172806,7.45085363225324
sim_124,0.945714801204974,0.591651608934801,6.93533873216597,0.828465345954973,0.587013606282757,5.54150648827403
sim_125,0.0074366428198965,0.957199636139266,7.0046858620762,0.187129174367062,1.01684130874143,4.60227264974874
sim_126,0.199269896373878,0.877575673891695,6.98959082664001,0.291219815720064,0.932004994298621,7.25380347681862
sim_127,0.613956889697444,0.884034814199283,7.02977791390609,0.455765269595574,0.966905524473441,6.40636112969349
sim_128,0.947275787444402,0.974025379118738,7.00745297948611,0.934616638673748,1.09425380634215,7.49567763353555
sim_129,0.026377070639515,0.0259705144906,7.93222540575036,0.191677039900416,0.189152126483109,6.85133236874971
sim_130,0.322814944932515,0.0387798802284185,7.90154016280496,0.191677204380209,0.189151898035621,6.85134004836905
sim_131,0.609328464154685,0.0244955073972752,8.00433410656695,0.611587032997856,0.183350497131307,4.35859567044352
sim_132,0.936098664553481,0.0150602575892575,8.07440236956093,0.802685116432945,0.190215020043871,7.39560456932818
sim_133,0.0363447448803596,0.310521442484596,8.05656460713201,0.19071379784061,0.284787005690862,6.32068411297176
sim_134,0.356152244997482,0.26028814365289,7.99733440283529,0.268292530387786,0.272641202637967,4.82251180136487
sim_135,0.707923978113746,0.278329706030792,8.0344062868746,0.803025125841853,0.290226424365792,7.47500945559004
sim_136,0.87397960551191,0.337524224047843,7.99103650977054,0.931150400809791,0.287065064014655,6.73498516469247
sim_137,0.00884213060998214,0.59883658729829,7.96434875840614,0.191271087725662,0.571187615644133,6.62367685849488
sim_138,0.242257368200755,0.551889167969299,7.97466812454498,0.290928791933109,0.48840435141247,7.17599647673933
sim_139,0.554356891645575,0.571855367961931,7.92749932948594,0.674355708260937,0.574943417836636,7.11703280663854
sim_140,0.940946473861154,0.58087927282057,8.02740419474455,0.803993547290094,0.568712198369605,7.71167827395591
sim_141,0.0703577463970913,0.884807273873553,7.94734055324871,0.192633634740729,0.801288914225128,7.3968014396736
