simulated_model,round,estimated_model,sumLME,bicint,relBIC,xp,winner_by_BIC,winner_by_XP
ms_two_k_two_beta,5,ms_two_k_two_beta_linear,-432.47255522832,871.539290028589,12.0882486422677,0.017934,0,0
ms_two_k_two_beta,5,ms_two_k_two_beta_hyperbolic,-433.544861130754,893.623299425501,34.1722580391802,0.182188,0,0
ms_two_k_two_beta,6,ms_two_k_one_beta,-460.637582117517,920.727838256031,0,0,1,0
ms_two_k_two_beta,6,ms_two_k_one_beta_linear,-487.123301526357,969.891542233677,49.1637039776459,0,0,0
ms_two_k_two_beta,6,ms_two_k_one_beta_hyperbolic,-487.474301989457,987.713354173402,66.9855159173705,0,0,0
ms_two_k_two_beta,6,ms_two_k_two_beta,-455.637124014113,923.665266577641,2.93742832161035,1,0,1
ms_two_k_two_beta,6,ms_two_k_two_beta_linear,-484.498974645212,962.982787673504,42.254949417473,0,0,0
ms_two_k_two_beta,6,ms_two_k_two_beta_hyperbolic,-485.29105383639,992.941226079357,72.2133878233261,0,0,0
ms_two_k_two_beta,7,ms_two_k_one_beta,-494.62558719692,972.318047734969,5.18005620724398,0.077975,0,0
ms_two_k_two_beta,7,ms_two_k_one_beta_linear,-500.313537701351,992.435250449687,25.2972589219622,2e-05,0,0
ms_two_k_two_beta,7,ms_two_k_one_beta_hyperbolic,-494.798949141268,1002.21041051541,35.0724189876854,0.000174,0,0
ms_two_k_two_beta,7,ms_two_k_two_beta,-487.98230308993,967.137991527725,0,0.882315,1,1
ms_two_k_two_beta,7,ms_two_k_two_beta_linear,-495.74567156507,997.666286624752,30.5282950970276,0.000201,0,0
ms_two_k_two_beta,7,ms_two_k_two_beta_hyperbolic,-494.876475616479,1008.71497157165,41.5769800439261,0.039315,0,0
ms_two_k_two_beta,8,ms_two_k_one_beta,-434.307831985778,863.153546385837,0,0.490403,1,0
